owner,method,path,handler,file,line
raster-service,GET,/v1/tiles/observability,tile_observability,services/raster-service/routers/observability.py,130
raster-service,GET,/readyz,readyz,services/raster-service/routers/observability.py,171
raster-service,GET,/v1/tile-cache/stats,tile_cache_stats,services/raster-service/routers/observability.py,192
raster-service,GET,/v1/info/{layer_id},raster_info,services/raster-service/routers/observability.py,213
raster-service,GET,/v1/providers/status,providers_status,services/raster-service/routers/observability.py,223
raster-service,GET,/v1/indices,field_indices,services/raster-service/routers/observability.py,253
raster-service,POST,/v1/process,process_raster,services/raster-service/routers/processing.py,28
raster-service,POST,/v1/raw/process,process_raw_data,services/raster-service/routers/processing.py,59
raster-service,POST,/v1/process/batch,process_batch,services/raster-service/routers/processing.py,78
raster-service,GET,/v1/soil/tiles/{prop}/{depth}/{z}/{x}/{y}.png,soil_tile,services/raster-service/routers/soil_tiles.py,37
raster-service,GET,/v1/soil/tilejson,soil_tilejson,services/raster-service/routers/soil_tiles.py,52
raster-service,GET,/v1/soil/properties,soil_properties,services/raster-service/routers/soil_tiles.py,100
raster-service,GET,/v1/fields/{field_id}/soil/summary,field_soil_summary,services/raster-service/routers/soil_tiles.py,144
raster-service,GET,/v1/fields/{field_id}/soil/sampling-zones.geojson,field_soil_sampling_zones,services/raster-service/routers/soil_tiles.py,166
raster-service,GET,/v1/fields/{field_id}/soil/sampling-plan,field_soil_sampling_plan,services/raster-service/routers/soil_tiles.py,193
raster-service,GET,/v1/stac,stac_landing,services/raster-service/routers/stac.py,17
raster-service,GET,/v1/stac/collections,stac_collections,services/raster-service/routers/stac.py,25
raster-service,POST,/v1/stac/mosaicjson,stac_mosaicjson,services/raster-service/routers/stac.py,33
raster-service,POST,/v1/upload/raster,upload_raster,services/raster-service/routers/storage.py,26
raster-service,POST,/v1/upload/drone,upload_drone,services/raster-service/routers/storage.py,43
raster-service,GET,/v1/storage/stats,storage_stats,services/raster-service/routers/storage.py,65
raster-service,POST,/v1/storage/cleanup,storage_cleanup,services/raster-service/routers/storage.py,74
raster-service,GET,/v1/offline/packs,list_offline_packs,services/raster-service/routers/storage.py,87
raster-service,GET,/v1/offline/packs/{pack_name},download_offline_pack,services/raster-service/routers/storage.py,115
raster-service,GET,/v1/terrain/status,terrain_status,services/raster-service/routers/terrain_tiles.py,45
raster-service,GET,/v1/elevation/hillshade/{z}/{x}/{y}.png,hillshade_tile,services/raster-service/routers/terrain_tiles.py,73
raster-service,GET,/v1/slope/{z}/{x}/{y}.png,slope_tile,services/raster-service/routers/terrain_tiles.py,87
raster-service,GET,/v1/terrain/tilejson,terrain_tilejson,services/raster-service/routers/terrain_tiles.py,101
raster-service,GET,/v1/fields/{field_id}/contours.geojson,field_contours,services/raster-service/routers/terrain_tiles.py,156
raster-service,GET,/v1/tiles/{layer_id}/{z}/{x}/{y}.png,get_tile,services/raster-service/routers/tiles.py,23
raster-service,GET,/v1/layers/{layer_id}/tilejson,layer_tilejson,services/raster-service/routers/tiles.py,37
raster-service,GET,/v1/imagery/timeseries,imagery_timeseries,services/raster-service/routers/timeseries_routes.py,24
raster-service,POST,/v1/imagery/timeseries/analyze,imagery_timeseries_analyze,services/raster-service/routers/timeseries_routes.py,77
raster-service,POST,/v1/imagery/timeseries/parallel,imagery_timeseries_parallel,services/raster-service/routers/timeseries_routes.py,92
remote-sensing-workspace-bff,GET,/healthz,healthz,services/remote-sensing-workspace-bff/main.py,33
remote-sensing-workspace-bff,GET,/readyz,readyz,services/remote-sensing-workspace-bff/main.py,38
remote-sensing-workspace-bff,GET,/v1/fields/{field_id}/remote-sensing-workspace,workspace,services/remote-sensing-workspace-bff/main.py,69
sahool-platform,POST,/feature-schema,feature_schema,services/sahool-platform/api/phase10_continuous_learning.py,147
sahool-platform,POST,/dataset,dataset,services/sahool-platform/api/phase10_continuous_learning.py,152
sahool-platform,POST,/models/promote,model_promotion,services/sahool-platform/api/phase10_continuous_learning.py,162
sahool-platform,POST,/online-update,online_update,services/sahool-platform/api/phase10_continuous_learning.py,172
sahool-platform,POST,/experiments/evaluate,experiment_evaluation,services/sahool-platform/api/phase10_continuous_learning.py,182
sahool-platform,POST,/scenario,scenario,services/sahool-platform/api/phase10_continuous_learning.py,192
sahool-platform,POST,/cycle,learning_cycle,services/sahool-platform/api/phase10_continuous_learning.py,197
sahool-platform,POST,/drift,drift,services/sahool-platform/api/phase10_continuous_learning.py,209
sahool-platform,POST,/retraining/plan,retraining_plan,services/sahool-platform/api/phase10_continuous_learning.py,218
sahool-platform,POST,/champion-challenger,champion_challenger,services/sahool-platform/api/phase10_continuous_learning.py,225
sahool-platform,POST,/feature-store/register,feature_store_register,services/sahool-platform/api/phase10_continuous_learning.py,237
sahool-platform,POST,/feature-store/offline-dataset,feature_store_offline_dataset,services/sahool-platform/api/phase10_continuous_learning.py,244
sahool-platform,POST,/feature-store/online-materialization,feature_store_online_materialization,services/sahool-platform/api/phase10_continuous_learning.py,254
