service,file,line,method,path,handler,classification
raster-service,services/raster-service/routers/observability.py,117,GET,/v1/tiles/observability,tile_observability,versioned
raster-service,services/raster-service/routers/observability.py,158,GET,/readyz,readyz,infra
raster-service,services/raster-service/routers/observability.py,179,GET,/v1/tile-cache/stats,tile_cache_stats,versioned
raster-service,services/raster-service/routers/observability.py,200,GET,/info/{layer_id},raster_info,legacy_unversioned_business
raster-service,services/raster-service/routers/observability.py,210,GET,/v1/providers/status,providers_status,versioned
raster-service,services/raster-service/routers/observability.py,240,GET,/indices,field_indices,legacy_unversioned_business
raster-service,services/raster-service/routers/processing.py,24,POST,/process,process_raster,legacy_unversioned_business
raster-service,services/raster-service/routers/processing.py,55,POST,/raw/process,process_raw_data,legacy_unversioned_business
raster-service,services/raster-service/routers/processing.py,74,POST,/process/batch,process_batch,legacy_unversioned_business
raster-service,services/raster-service/routers/soil_tiles.py,37,GET,/v1/soil/tiles/{prop}/{depth}/{z}/{x}/{y}.png,soil_tile,versioned
raster-service,services/raster-service/routers/soil_tiles.py,52,GET,/v1/soil/tilejson,soil_tilejson,versioned
raster-service,services/raster-service/routers/soil_tiles.py,100,GET,/v1/soil/properties,soil_properties,versioned
raster-service,services/raster-service/routers/soil_tiles.py,144,GET,/v1/fields/{field_id}/soil/summary,field_soil_summary,versioned
raster-service,services/raster-service/routers/soil_tiles.py,166,GET,/v1/fields/{field_id}/soil/sampling-zones.geojson,field_soil_sampling_zones,versioned
raster-service,services/raster-service/routers/soil_tiles.py,193,GET,/v1/fields/{field_id}/soil/sampling-plan,field_soil_sampling_plan,versioned
raster-service,services/raster-service/routers/stac.py,17,GET,/stac,stac_landing,legacy_unversioned_business
raster-service,services/raster-service/routers/stac.py,25,GET,/stac/collections,stac_collections,legacy_unversioned_business
raster-service,services/raster-service/routers/stac.py,33,POST,/stac/mosaicjson,stac_mosaicjson,legacy_unversioned_business
raster-service,services/raster-service/routers/storage.py,26,POST,/upload/raster,upload_raster,legacy_unversioned_business
raster-service,services/raster-service/routers/storage.py,43,POST,/upload/drone,upload_drone,legacy_unversioned_business
raster-service,services/raster-service/routers/storage.py,65,GET,/storage/stats,storage_stats,legacy_unversioned_business
raster-service,services/raster-service/routers/storage.py,74,POST,/storage/cleanup,storage_cleanup,legacy_unversioned_business
raster-service,services/raster-service/routers/storage.py,87,GET,/offline/packs,list_offline_packs,legacy_unversioned_business
raster-service,services/raster-service/routers/storage.py,115,GET,/offline/packs/{pack_name},download_offline_pack,legacy_unversioned_business
raster-service,services/raster-service/routers/terrain_tiles.py,45,GET,/v1/terrain/status,terrain_status,versioned
raster-service,services/raster-service/routers/terrain_tiles.py,63,GET,/v1/elevation/hillshade/{z}/{x}/{y}.png,hillshade_tile,versioned
raster-service,services/raster-service/routers/terrain_tiles.py,77,GET,/v1/slope/{z}/{x}/{y}.png,slope_tile,versioned
raster-service,services/raster-service/routers/terrain_tiles.py,91,GET,/v1/terrain/tilejson,terrain_tilejson,versioned
raster-service,services/raster-service/routers/terrain_tiles.py,146,GET,/v1/fields/{field_id}/contours.geojson,field_contours,versioned
raster-service,services/raster-service/routers/tiles.py,23,GET,/tiles/{layer_id}/{z}/{x}/{y}.png,get_tile,legacy_unversioned_business
raster-service,services/raster-service/routers/tiles.py,37,GET,/layers/{layer_id}/tilejson,layer_tilejson,legacy_unversioned_business
raster-service,services/raster-service/routers/timeseries_routes.py,24,GET,/imagery/timeseries,imagery_timeseries,legacy_unversioned_business
